name,relativeURL,category,stage,description,imageURL,isFeatured
MuniciPal ,/governments/mesa/#product,Communication & Engagement,Alpha,Municipal helps residents stay current on news about elected officials and legislation that is relevant to the neighborhood where they live or work.,municipal.png,FALSE
311 Dashboard,/governments/chicago/#product,Communication & Engagement,Local Beta,The 311 Dashboard visualizes a city's 311 non-emergency service request data to show neighborhood-level needs and trends.,311labs.jpg,FALSE
311 Service Tracker,/governments/chicago/#product,Communication & Engagement,Local Beta,311 Service Tracker makes it easy for anyone to find out the status of a 311 service request.,311labs.jpg,FALSE
Adopt-a-Hydrant,/products/adopt-a-hydrant/,Communication & Engagement,Local Beta,"Adopt-a-Hydrant makes it easy for community members to volunteer to take care of local infrastructure, like fire hydrants, in case of severe weather. The app can be customized for any type of infrastructure, from storm drains to tsunami sirens.",adopt-a-hydrant.png,FALSE
Atlanta Procurement Website,/governments/atlanta/#product,Communication & Engagement,Local Beta,"The Atlanta Procurement Website provides information on city procurement opportunities, explains the procurement process, and lets users sign up to receive automatic updates about new opportunities.",placeholder.png,FALSE
ATX  Floods,/governments/austin/#product,Communication & Engagement,Local Beta,ATX Floods is a tool for crowd-sourced reporting and mapping of flash flood conditions like emergency road closures and high water. ,atx.jpg,FALSE
CityGram ,/governments/charlotte/#product,Communication & Engagement,Local Beta,"CityGram lets residents subscribe to SMS and email notifications by topic and neighborhood, powered by a variety of open data sources.",citygram.png,FALSE
Cute Pets IN,/governments/denver/#product,Communication & Engagement,Local Beta,Cute Pets In is an app that automatically posts photos and profiles of available pets in municipal shelters to a Twitter feed to help more pets find adopted homes.,placeholder.png,FALSE
HNL Answers   ,/products/honolulu-answers/,Communication & Engagement,Local Beta,"Honolulu Answers allows residents to find clear, simple answers to the most frequently asked questions about city services. ",honolulu-answers.jpg,TRUE
Home Base,/governments/sanantonio/#product,Communication & Engagement,Local Beta,Home Base guides citizens through the permitting process for home remodels in San Antonio.,homebase.png,FALSE
Prepared.ly,/products/prepared-ly/,Communication & Engagement,Local Beta,Prepared.ly helps residents learn how to protect their communities from natural disasters with checklists and facts about disaster preparedness.,prepared-ly.jpg,FALSE
Record Trac,/products/recordtrac/,Communication & Engagement,Local Beta,Record Trac is a public records request management system that is friendly for residents to use and easy for officials to maintain.,RecordTrac_header.jpg,FALSE
The Daily Brief,/governments/chicago/#product,Communication & Engagement,Local Beta,"The Daily Brief allows users to explore and filter 311 service requests by neighborhood, service type, and status.",the-daily-brief.jpg,FALSE
Analytics Dashboard,/products/city-analytics-dashboard/,Communication & Engagement,National Beta,The City Analytics Dashboard lets users display the live traffic on your website easily from your Google Analytics account.,dashboard-logo.png,FALSE
City Voice,/products/cityvoice/,Communication & Engagement,National Beta,"City Voice is a call-in system for gathering, sharing, and understanding community feedback about places in a neighborhood, such as vacant lots.",cityvoice.jpg,TRUE
Develpoment Fast Pass,/products/development-fastpass/,Economic Development,Alpha,"Development Fast Pass recommends the best potential locations for new businesses based on characteristics like land use, zoning, building occupancy, and business incentives.",development-fastpass.jpg,FALSE
